congress_num,icpsr_id,state_code,congressional_district_num,state,party_code,name,dim1,dim2,dim1_se,dim2_se,correlation_dim1_dim2_se,log_likelihood,num_votes,num_classification_errors,geom_mean_prob
48,765,4,0,NEW HAM,200,BLAIR H.W.,0.198,-0.336,0.0573,0.0481,0.0258,-120.13011,343,59,0.705
48,7447,4,0,NEW HAM,200,PIKE A.F.,0.044,-0.695,0.0359,0.1002,-0.1862,-86.27117,333,38,0.772
48,6375,12,0,NEW JER,100,MCPHERSON J,-0.509,-0.797,0.0871,0.0382,0.4046,-75.82288,188,37,0.668
48,8379,12,0,NEW JER,200,SEWELL W.J.,0.059,-0.355,0.0412,0.0523,0.1669,-82.72752,252,44,0.72
48,5473,13,0,NEW YOR,200,LAPHAM E.G.,0.219,-0.198,0.0869,0.0818,0.1045,-80.7757,278,43,0.748
48,6514,13,0,NEW YOR,200,MILLER W.,0.173,-0.275,0.0484,0.0579,0.0544,-78.3358,273,42,0.751
48,7737,47,0,NORTH C,100,RANSOM M.W.,-0.542,-0.147,0.0586,0.0415,0.0613,-73.03541,244,35,0.741
48,9601,47,0,NORTH C,100,VANCE Z.B.,-0.792,0.24,0.0997,0.078,0.0821,-84.03992,290,42,0.748
48,8454,24,0,OHIO,200,SHERMAN J.,0.064,-0.207,0.0274,0.0396,-0.0319,-114.24142,284,66,0.669
48,7319,24,0,OHIO,100,PENDLETON G,-0.658,-0.232,0.0827,0.0673,0.0857,-97.64028,272,48,0.698
48,8567,72,0,OREGON,100,SLATER J.H.,-0.7,0.079,0.0893,0.0653,0.1645,-81.00386,247,31,0.72
48,2649,72,0,OREGON,200,DOLPH J.N.,0.142,-0.113,0.0402,0.0674,0.092,-138.35538,349,63,0.673
48,6566,14,0,PENNSYL,200,MITCHELL J.,0.211,-0.415,0.083,0.073,-0.0293,-95.01049,321,49,0.744
48,1435,14,0,PENNSYL,200,CAMERON J.D,0.091,0.113,0.0288,0.0402,0.1754,-37.97132,91,20,0.659
48,71,5,0,RHODE I,200,ALDRICH N.W,0.173,-0.744,0.0554,0.0665,-0.1997,-52.99347,236,18,0.799
48,212,5,0,RHODE I,200,ANTHONY H.B,0.231,-0.671,0.0523,0.0799,-0.0387,-6.38524,30,5,0.808
48,8429,5,0,RHODE I,200,SHEFFIELD W,0.344,-0.875,0.1703,0.3748,0.5018,-6.36646,28,3,0.797
48,1613,5,0,RHODE I,200,CHACE J.,0.198,-0.359,0.0626,0.0787,0.0744,-29.85162,100,13,0.742
48,4020,48,0,SOUTH C,100,HAMPTON W.,-0.598,-0.421,0.0617,0.0402,0.1116,-76.02973,325,31,0.791
48,1344,48,0,SOUTH C,100,BUTLER M.C.,-0.563,-0.477,0.0615,0.0369,0.2327,-95.346,264,43,0.697
48,4104,54,0,TENNESS,100,HARRIS I.G.,-0.717,0.126,0.0897,0.0532,0.0219,-130.45047,358,60,0.695
48,4852,54,0,TENNESS,100,JACKSON H.E,-0.525,-0.085,0.0817,0.0749,0.1067,-112.90082,347,56,0.722
48,1915,49,0,TEXAS,100,COKE R.,-0.797,0.41,0.107,0.065,-0.1345,-97.89833,390,42,0.778
48,6093,49,0,TEXAS,100,MAXEY S.B.,-0.736,0.294,0.084,0.0836,-0.0681,-127.33763,358,63,0.701
48,2855,6,0,VERMONT,200,EDMUNDS G.F,0.191,-0.984,0.0598,0.1122,-0.28,-102.5497,288,57,0.7
48,6696,6,0,VERMONT,200,MORRILL J.S,0.171,-0.948,0.0576,0.0564,-0.2734,-90.73382,364,42,0.779
48,7894,40,0,VIRGINI,114,RIDDLEBERGE,-0.088,0.201,0.0211,0.0673,0.1486,-88.86483,197,39,0.637
48,5926,40,0,VIRGINI,114,MAHONE W.,0.284,0.3,0.0964,0.0849,0.4321,-68.12335,195,35,0.705
48,5173,56,0,WEST VI,100,KENNA J.E.,-0.607,-0.137,0.0846,0.0852,-0.0753,-55.4911,182,31,0.737
